P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[601, 601, 601, 601, 601, 601, 601, 601, 601, 601]","[3.005, 3.005, 3.005, 3.005, 3.005, 3.005, 3.005, 3.005, 3.005, 3.005]","[546, 546, 546, 546, 546, 546, 546, 546, 546, 546]","[2.73, 2.73, 2.73, 2.73, 2.73, 2.73, 2.73, 2.73, 2.73, 2.73]",601,3.005,546,2.73
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[233, 233, 233, 233, 233, 233, 233, 233, 233, 233]","[1.165, 1.165, 1.165, 1.165, 1.165, 1.165, 1.165, 1.165, 1.165, 1.165]","[203, 203, 203, 203, 203, 203, 203, 203, 203, 203]","[1.015, 1.015, 1.015, 1.015, 1.015, 1.015, 1.015, 1.015, 1.015, 1.015]",233,1.165,203,1.015
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[284, 284, 284, 284, 284, 284, 284, 284, 284, 284]","[1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42]","[284, 284, 284, 284, 284, 284, 284, 284, 284, 284]","[1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42, 1.42]",284,1.42,284,1.42
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 0, 10]","[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]","[1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12]","[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]","[1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12, 1.12]",224,1.12,224,1.12
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[10, 0, 0]","[265, 265, 265, 265, 265, 265, 265, 265, 265, 265]","[1.325, 1.325, 1.325, 1.325, 1.325, 1.325, 1.325, 1.325, 1.325, 1.325]","[260, 260, 260, 260, 260, 260, 260, 260, 260, 260]","[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]",265,1.325,260,1.3
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[545, 545, 545, 545, 545, 545, 545, 545, 545, 545]","[2.725, 2.725, 2.725, 2.725, 2.725, 2.725, 2.725, 2.725, 2.725, 2.725]","[150, 150, 150, 150, 150, 150, 150, 150, 150, 150]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",545,2.725,150,0.75
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[591, 591, 591, 591, 591, 591, 591, 591, 591, 591]","[2.955, 2.955, 2.955, 2.955, 2.955, 2.955, 2.955, 2.955, 2.955, 2.955]","[161, 161, 161, 161, 161, 161, 161, 161, 161, 161]","[0.805, 0.805, 0.805, 0.805, 0.805, 0.805, 0.805, 0.805, 0.805, 0.805]",591,2.955,161,0.805
"First by Nydegger,First by Nydegger","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Nydegger,First by Grofman","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Nydegger,First by Shubik","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Nydegger,First by Stein and Rapoport: 0.05: (D, D)","[0, 10, 0]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]","[2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97, 2.97]","[604, 604, 604, 604, 604, 604, 604, 604, 604, 604]","[3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02, 3.02]",594,2.97,604,3.02
"First by Nydegger,Grudger","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
"First by Nydegger,First by Davis: 10","[0, 0, 10]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[600, 600, 600, 600, 600, 600, 600, 600, 600, 600]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",600,3.0,600,3.0
