Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
79,First by Graaskamp: 0.05,First by Shubik,351,-285,1.837696335078534,"[1, 0, 0]"
80,Tit For Tat,First by Shubik,621,0,3.0,"[0, 0, 1]"
80,First by Shubik,Tit For Tat,621,0,3.0,"[0, 0, 1]"
81,Tit For Tat,First by Shubik,651,0,3.0,"[0, 0, 1]"
81,First by Shubik,Tit For Tat,651,0,3.0,"[0, 0, 1]"
82,Tit For Tat,First by Shubik,525,0,3.0,"[0, 0, 1]"
82,First by Shubik,Tit For Tat,525,0,3.0,"[0, 0, 1]"
83,Tit For Tat,First by Shubik,552,0,3.0,"[0, 0, 1]"
83,First by Shubik,Tit For Tat,552,0,3.0,"[0, 0, 1]"
84,Tit For Tat,First by Shubik,720,0,3.0,"[0, 0, 1]"
84,First by Shubik,Tit For Tat,720,0,3.0,"[0, 0, 1]"
85,Tit For Tat,First by Shubik,669,0,3.0,"[0, 0, 1]"
85,First by Shubik,Tit For Tat,669,0,3.0,"[0, 0, 1]"
86,Tit For Tat,First by Shubik,546,0,3.0,"[0, 0, 1]"
86,First by Shubik,Tit For Tat,546,0,3.0,"[0, 0, 1]"
87,Tit For Tat,First by Shubik,684,0,3.0,"[0, 0, 1]"
87,First by Shubik,Tit For Tat,684,0,3.0,"[0, 0, 1]"
88,Tit For Tat,First by Shubik,495,0,3.0,"[0, 0, 1]"
88,First by Shubik,Tit For Tat,495,0,3.0,"[0, 0, 1]"
89,Tit For Tat,First by Shubik,420,0,3.0,"[0, 0, 1]"
89,First by Shubik,Tit For Tat,420,0,3.0,"[0, 0, 1]"
90,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,471,5,3.0,"[1, 0, 0]"
90,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",466,-5,2.968152866242038,"[1, 0, 0]"
91,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,471,5,3.0,"[1, 0, 0]"
91,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",466,-5,2.968152866242038,"[1, 0, 0]"
92,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,450,5,3.0,"[1, 0, 0]"
92,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",445,-5,2.966666666666667,"[1, 0, 0]"
93,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,438,5,3.0,"[1, 0, 0]"
93,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",433,-5,2.9657534246575343,"[1, 0, 0]"
94,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,453,5,3.0,"[1, 0, 0]"
94,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",448,-5,2.966887417218543,"[1, 0, 0]"
95,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,423,5,3.0,"[1, 0, 0]"
95,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",418,-5,2.964539007092198,"[1, 0, 0]"
96,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,699,5,3.0,"[1, 0, 0]"
96,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",694,-5,2.9785407725321886,"[1, 0, 0]"
97,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,738,5,3.0,"[1, 0, 0]"
97,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",733,-5,2.9796747967479678,"[1, 0, 0]"
98,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,615,5,3.0,"[1, 0, 0]"
98,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",610,-5,2.975609756097561,"[1, 0, 0]"
99,"First by Stein and Rapoport: 0.05: (D, D)",First by Davis: 10,636,5,3.0,"[1, 0, 0]"
99,First by Davis: 10,"First by Stein and Rapoport: 0.05: (D, D)",631,-5,2.9764150943396226,"[1, 0, 0]"
100,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",439,-5,2.966216216216216,"[0, 1, 0]"
100,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,444,5,3.0,"[0, 1, 0]"
101,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",748,-5,2.9800796812749004,"[0, 1, 0]"
101,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,753,5,3.0,"[0, 1, 0]"
102,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",502,-5,2.970414201183432,"[0, 1, 0]"
102,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,507,5,3.0,"[0, 1, 0]"
103,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",487,-5,2.9695121951219514,"[0, 1, 0]"
103,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,492,5,3.0,"[0, 1, 0]"
104,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",598,-5,2.9751243781094527,"[0, 1, 0]"
104,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,603,5,3.0,"[0, 1, 0]"
105,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",598,-5,2.9751243781094527,"[0, 1, 0]"
105,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,603,5,3.0,"[0, 1, 0]"
106,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",706,-5,2.978902953586498,"[0, 1, 0]"
106,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,711,5,3.0,"[0, 1, 0]"
107,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",568,-5,2.973821989528796,"[0, 1, 0]"
107,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,573,5,3.0,"[0, 1, 0]"
108,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",694,-5,2.9785407725321886,"[0, 1, 0]"
108,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,699,5,3.0,"[0, 1, 0]"
109,Tit For Tat,"First by Stein and Rapoport: 0.05: (D, D)",628,-5,2.976303317535545,"[0, 1, 0]"
109,"First by Stein and Rapoport: 0.05: (D, D)",Tit For Tat,633,5,3.0,"[0, 1, 0]"
110,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,504,285,2.5326633165829144,"[1, 0, 0]"
110,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",219,-285,1.100502512562814,"[1, 0, 0]"
111,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,401,195,2.386904761904762,"[1, 0, 0]"
111,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",206,-195,1.2261904761904765,"[1, 0, 0]"
112,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,536,290,2.361233480176212,"[1, 0, 0]"
112,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",246,-290,1.0837004405286343,"[1, 0, 0]"
113,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,416,210,2.432748538011696,"[1, 0, 0]"
113,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",206,-210,1.2046783625730997,"[1, 0, 0]"
114,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,492,280,2.575916230366492,"[1, 0, 0]"
114,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",212,-280,1.1099476439790577,"[1, 0, 0]"
115,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,519,285,2.425233644859813,"[1, 0, 0]"
115,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",234,-285,1.0934579439252337,"[1, 0, 0]"
116,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,569,300,2.285140562248996,"[1, 0, 0]"
116,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",269,-300,1.0803212851405624,"[1, 0, 0]"
117,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,486,280,2.627027027027027,"[1, 0, 0]"
117,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",206,-280,1.1135135135135137,"[1, 0, 0]"
118,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,494,280,2.5595854922279795,"[1, 0, 0]"
118,First by Downing,"First by Stein and Rapoport: 0.05: (D, D)",214,-280,1.1088082901554404,"[1, 0, 0]"
119,"First by Stein and Rapoport: 0.05: (D, D)",First by Downing,533,290,2.3794642857142856,"[1, 0, 0]"
