P1_vs_P2,Winners[P1_P2_EQ],Utility_P1,Utility_per_turn_P1,Utility_P2,Utility_per_turn_P2,AVG_utility_p1,AVG_utility_per_turn_p1,AVG_utility_p2,AVG_utility_per_turn_p1
"First by Downing,First by Anonymous","[10, 0, 0]","[636, 518, 613, 691, 613, 425, 607, 577, 743, 439]","[2.9174, 2.8778, 2.9052, 2.9657, 2.9052, 2.8912, 2.9043, 2.8995, 2.9368, 2.8693]","[116, 98, 113, 121, 113, 80, 112, 107, 133, 84]","[0.5321, 0.5444, 0.5355, 0.5193, 0.5355, 0.5442, 0.5359, 0.5377, 0.5257, 0.549]",586.2,2.90724,107.7,0.53593
"First by Tideman and Chieruzzi: (D, D),First by Grofman","[10, 0, 0]","[522, 426, 474, 531, 702, 477, 528, 654, 585, 723]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[517, 421, 469, 526, 697, 472, 523, 649, 580, 718]","[2.9713, 2.9648, 2.9684, 2.9718, 2.9786, 2.9686, 2.9716, 2.9771, 2.9744, 2.9793]",562.2,3.0,557.2,2.97259
"First by Downing,Random: 0.5","[10, 0, 0]","[503, 593, 790, 555, 566, 534, 493, 476, 511, 585]","[3.2038, 3.1047, 3.1349, 3.1356, 3.1444, 3.1786, 3.1806, 3.1733, 3.1739, 3.1283]","[73, 93, 120, 85, 86, 79, 73, 71, 76, 90]","[0.465, 0.4869, 0.4762, 0.4802, 0.4778, 0.4702, 0.471, 0.4733, 0.472, 0.4813]",560.6,3.15581,84.6,0.47539
"First by Tideman and Chieruzzi: (D, D),First by Shubik","[10, 0, 0]","[717, 597, 543, 540, 453, 651, 741, 666, 600, 630]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[712, 592, 538, 535, 448, 646, 736, 661, 595, 625]","[2.9791, 2.9749, 2.9724, 2.9722, 2.9669, 2.977, 2.9798, 2.9775, 2.975, 2.9762]",613.8,3.0,608.8,2.9751
"First by Feld: 1.0, 0.5, 200,First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[235, 330, 327, 261, 297, 288, 246, 282, 304, 285]","[1.4688, 1.2941, 1.2976, 1.4032, 1.3378, 1.3521, 1.4386, 1.3623, 1.3275, 1.3571]","[235, 330, 327, 261, 297, 288, 246, 282, 304, 285]","[1.4688, 1.2941, 1.2976, 1.4032, 1.3378, 1.3521, 1.4386, 1.3623, 1.3275, 1.3571]",285.5,1.36391,285.5,1.36391
"First by Tideman and Chieruzzi: (D, D),First by Stein and Rapoport: 0.05: (D, D)","[0, 0, 10]","[551, 695, 443, 470, 671, 578, 554, 695, 671, 446]","[2.9784, 2.9828, 2.9732, 2.9747, 2.9822, 2.9794, 2.9785, 2.9828, 2.9822, 2.9733]","[551, 695, 443, 470, 671, 578, 554, 695, 671, 446]","[2.9784, 2.9828, 2.9732, 2.9747, 2.9822, 2.9794, 2.9785, 2.9828, 2.9822, 2.9733]",577.4,2.9787500000000002,577.4,2.9787500000000002
"First by Feld: 1.0, 0.5, 200,First by Tullock","[0, 10, 0]","[224, 198, 221, 272, 311, 246, 269, 269, 244, 273]","[1.3023, 1.3562, 1.3077, 1.2364, 1.2008, 1.268, 1.2396, 1.2396, 1.2708, 1.2353]","[229, 203, 226, 277, 316, 251, 274, 274, 249, 278]","[1.3314, 1.3904, 1.3373, 1.2591, 1.2201, 1.2938, 1.2627, 1.2627, 1.2969, 1.2579]",252.7,1.26567,257.7,1.29123
"First by Tideman and Chieruzzi: (D, D),Grudger","[10, 0, 0]","[780, 708, 573, 603, 429, 462, 693, 741, 546, 657]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[775, 703, 568, 598, 424, 457, 688, 736, 541, 652]","[2.9808, 2.9788, 2.9738, 2.9751, 2.965, 2.9675, 2.9784, 2.9798, 2.9725, 2.9772]",619.2,3.0,614.2,2.97489
"First by Feld: 1.0, 0.5, 200,Random: 0.5","[10, 0, 0]","[629, 571, 629, 585, 370, 389, 454, 448, 521, 454]","[2.4667, 2.4612, 2.4667, 2.458, 2.3871, 2.3865, 2.4409, 2.4348, 2.4575, 2.4409]","[459, 416, 459, 430, 315, 324, 354, 353, 391, 354]","[1.8, 1.7931, 1.8, 1.8067, 2.0323, 1.9877, 1.9032, 1.9185, 1.8443, 1.9032]",505.0,2.44003,385.5,1.8789
"First by Tideman and Chieruzzi: (D, D),First by Davis: 10","[10, 0, 0]","[609, 756, 450, 657, 648, 549, 597, 564, 543, 696]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[604, 751, 445, 652, 643, 544, 592, 559, 538, 691]","[2.9754, 2.9802, 2.9667, 2.9772, 2.9769, 2.9727, 2.9749, 2.9734, 2.9724, 2.9784]",606.9,3.0,601.9,2.97482
"First by Joss: 0.9,First by Tullock","[10, 0, 0]","[244, 305, 227, 280, 325, 248, 283, 290, 279, 307]","[1.5346, 1.3864, 1.5986, 1.4359, 1.3542, 1.5215, 1.4293, 1.4146, 1.4381, 1.3829]","[229, 290, 212, 265, 310, 233, 268, 275, 264, 292]","[1.4403, 1.3182, 1.493, 1.359, 1.2917, 1.4294, 1.3535, 1.3415, 1.3608, 1.3153]",278.8,1.44961,263.8,1.37027
"First by Tideman and Chieruzzi: (D, D),First by Graaskamp: 0.05","[10, 0, 0]","[531, 574, 522, 490, 493, 560, 651, 560, 480, 758]","[2.95, 2.9436, 2.9492, 2.9878, 2.9879, 2.9474, 2.9457, 2.9474, 2.963, 2.938]","[511, 554, 502, 455, 458, 540, 626, 540, 455, 733]","[2.8389, 2.841, 2.8362, 2.7744, 2.7758, 2.8421, 2.8326, 2.8421, 2.8086, 2.8411]",561.9,2.956,537.4,2.82328
"First by Joss: 0.9,Random: 0.5","[10, 0, 0]","[404, 358, 523, 490, 512, 382, 430, 371, 459, 312]","[2.0933, 2.1059, 2.1347, 2.1212, 2.1157, 2.0761, 2.0976, 2.108, 2.1055, 2.1667]","[364, 328, 468, 440, 462, 347, 385, 336, 409, 287]","[1.886, 1.9294, 1.9102, 1.9048, 1.9091, 1.8859, 1.878, 1.9091, 1.8761, 1.9931]",424.1,2.11247,382.6,1.90817
"First by Tideman and Chieruzzi: (D, D),First by Downing","[10, 0, 0]","[276, 256, 259, 190, 204, 188, 217, 272, 212, 183]","[1.1358, 1.148, 1.146, 1.2102, 1.193, 1.2129, 1.1793, 1.1381, 1.1844, 1.22]","[246, 226, 229, 160, 174, 158, 187, 242, 182, 153]","[1.0123, 1.0135, 1.0133, 1.0191, 1.0175, 1.0194, 1.0163, 1.0126, 1.0168, 1.02]",225.7,1.1767699999999999,195.7,1.01608
"First by Tullock,First by Anonymous","[10, 0, 0]","[367, 480, 553, 458, 545, 439, 558, 351, 348, 453]","[2.2795, 2.2857, 2.3042, 2.3015, 2.2996, 2.3105, 2.3058, 2.3092, 2.32, 2.2995]","[352, 440, 488, 418, 480, 394, 493, 326, 318, 413]","[2.1863, 2.0952, 2.0333, 2.1005, 2.0253, 2.0737, 2.0372, 2.1447, 2.12, 2.0964]",455.2,2.3015499999999998,412.2,2.09126
"First by Tideman and Chieruzzi: (D, D),First by Feld: 1.0, 0.5, 200","[0, 0, 10]","[345, 318, 270, 264, 239, 289, 296, 243, 266, 267]","[1.3424, 1.3826, 1.4835, 1.5, 1.5828, 1.4378, 1.4231, 1.5677, 1.4944, 1.4916]","[345, 318, 270, 264, 239, 289, 296, 243, 266, 267]","[1.3424, 1.3826, 1.4835, 1.5, 1.5828, 1.4378, 1.4231, 1.5677, 1.4944, 1.4916]",279.7,1.47059,279.7,1.47059
"First by Anonymous,First by Anonymous","[5, 5, 0]","[418, 523, 606, 488, 417, 428, 545, 598, 368, 411]","[2.375, 2.3881, 2.3765, 2.3922, 2.3829, 2.3646, 2.3291, 2.392, 2.4052, 2.3895]","[388, 463, 546, 428, 387, 403, 510, 533, 328, 376]","[2.2045, 2.1142, 2.1412, 2.098, 2.2114, 2.2265, 2.1795, 2.132, 2.1438, 2.186]",480.2,2.37951,436.2,2.16371
"First by Tideman and Chieruzzi: (D, D),First by Joss: 0.9","[0, 10, 0]","[243, 176, 259, 211, 218, 238, 253, 196, 262, 144]","[1.0125, 1.0173, 1.0117, 1.0144, 1.014, 1.0128, 1.012, 1.0155, 1.0116, 1.0213]","[248, 181, 264, 216, 223, 243, 258, 201, 267, 149]","[1.0333, 1.0462, 1.0312, 1.0385, 1.0372, 1.034, 1.032, 1.0415, 1.0309, 1.0567]",220.0,1.01431,225.0,1.03815
"Random: 0.5,Random: 0.5","[5, 5, 0]","[406, 514, 406, 437, 426, 556, 522, 368, 405, 434]","[2.6194, 2.532, 2.6194, 2.5858, 2.6135, 2.4711, 2.5217, 2.6286, 2.6645, 2.5833]","[341, 444, 341, 367, 356, 511, 457, 308, 330, 364]","[2.2, 2.1872, 2.2, 2.1716, 2.184, 2.2711, 2.2077, 2.2, 2.1711, 2.1667]",447.4,2.58393,381.9,2.1959400000000002
"First by Tideman and Chieruzzi: (D, D),First by Tullock","[0, 0, 10]","[244, 330, 307, 238, 275, 235, 266, 317, 297, 326]","[1.5155, 1.336, 1.3705, 1.5355, 1.4323, 1.5461, 1.4536, 1.3547, 1.3879, 1.3416]","[244, 330, 307, 238, 275, 235, 266, 317, 297, 326]","[1.5155, 1.336, 1.3705, 1.5355, 1.4323, 1.5461, 1.4536, 1.3547, 1.3879, 1.3416]",283.5,1.42737,283.5,1.42737
"First by Tideman and Chieruzzi: (D, D),First by Anonymous","[10, 0, 0]","[519, 391, 593, 457, 648, 442, 446, 528, 498, 371]","[2.7316, 2.6067, 2.7581, 2.6725, 2.7227, 2.6788, 2.6707, 2.7077, 2.7065, 2.6127]","[154, 126, 173, 142, 188, 132, 136, 158, 148, 121]","[0.8105, 0.84, 0.8047, 0.8304, 0.7899, 0.8, 0.8144, 0.8103, 0.8043, 0.8521]",489.3,2.6868,147.8,0.81566
"First by Tideman and Chieruzzi: (D, D),Random: 0.5","[10, 0, 0]","[678, 488, 600, 532, 401, 574, 637, 456, 653, 491]","[2.7901, 2.8706, 2.8169, 2.8602, 2.8042, 2.8276, 2.8186, 2.8861, 2.7906, 2.8382]","[188, 138, 170, 147, 126, 164, 177, 131, 183, 141]","[0.7737, 0.8118, 0.7981, 0.7903, 0.8811, 0.8079, 0.7832, 0.8291, 0.7821, 0.815]",551.0,2.83031,156.5,0.80723
"First by Nydegger,First by Nydegger","[0, 0, 10]","[423, 507, 618, 654, 771, 780, 579, 504, 705, 573]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[423, 507, 618, 654, 771, 780, 579, 504, 705, 573]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",611.4,3.0,611.4,3.0
"First by Nydegger,First by Grofman","[0, 0, 10]","[663, 669, 474, 498, 471, 522, 540, 435, 504, 498]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[663, 669, 474, 498, 471, 522, 540, 435, 504, 498]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",527.4,3.0,527.4,3.0
