Interaction index,Player name,Opponent name,Score,Score difference,Score per turn,Winner List
71,First by Joss: 0.9,"First by Stein and Rapoport: 0.05: (D, D)",252,0,1.2352941176470589,"[0, 0, 1]"
72,"First by Stein and Rapoport: 0.05: (D, D)",First by Tullock,300,-5,1.5544041450777202,"[0, 1, 0]"
72,First by Tullock,"First by Stein and Rapoport: 0.05: (D, D)",305,5,1.5803108808290156,"[0, 1, 0]"
73,"First by Stein and Rapoport: 0.05: (D, D)",First by Anonymous,567,420,2.7524271844660197,"[1, 0, 0]"
73,First by Anonymous,"First by Stein and Rapoport: 0.05: (D, D)",147,-420,0.7135922330097088,"[1, 0, 0]"
74,"First by Stein and Rapoport: 0.05: (D, D)",Random: 0.5,655,530,3.0324074074074074,"[1, 0, 0]"
74,Random: 0.5,"First by Stein and Rapoport: 0.05: (D, D)",125,-530,0.5787037037037037,"[1, 0, 0]"
75,Grudger,Grudger,552,0,3.0,"[0, 0, 1]"
75,Grudger,Grudger,552,0,3.0,"[0, 0, 1]"
76,Grudger,First by Davis: 10,540,0,3.0,"[0, 0, 1]"
76,First by Davis: 10,Grudger,540,0,3.0,"[0, 0, 1]"
77,Grudger,First by Graaskamp: 0.05,417,135,2.0242718446601944,"[1, 0, 0]"
77,First by Graaskamp: 0.05,Grudger,282,-135,1.3689320388349515,"[1, 0, 0]"
78,Grudger,First by Downing,205,10,1.056701030927835,"[1, 0, 0]"
78,First by Downing,Grudger,195,-10,1.0051546391752575,"[1, 0, 0]"
79,Grudger,"First by Feld: 1.0, 0.5, 200",277,0,1.259090909090909,"[0, 0, 1]"
79,"First by Feld: 1.0, 0.5, 200",Grudger,277,0,1.259090909090909,"[0, 0, 1]"
80,Grudger,First by Joss: 0.9,221,0,1.0728155339805825,"[0, 0, 1]"
80,First by Joss: 0.9,Grudger,221,0,1.0728155339805825,"[0, 0, 1]"
81,Grudger,First by Tullock,240,5,1.2307692307692308,"[1, 0, 0]"
81,First by Tullock,Grudger,235,-5,1.205128205128205,"[1, 0, 0]"
82,Grudger,First by Anonymous,589,500,3.2362637362637363,"[1, 0, 0]"
82,First by Anonymous,Grudger,89,-500,0.489010989010989,"[1, 0, 0]"
83,Grudger,Random: 0.5,625,510,2.920560747663552,"[1, 0, 0]"
83,Random: 0.5,Grudger,115,-510,0.5373831775700935,"[1, 0, 0]"
84,First by Davis: 10,First by Davis: 10,624,0,3.0,"[0, 0, 1]"
84,First by Davis: 10,First by Davis: 10,624,0,3.0,"[0, 0, 1]"
85,First by Davis: 10,First by Graaskamp: 0.05,393,135,2.159340659340659,"[1, 0, 0]"
85,First by Graaskamp: 0.05,First by Davis: 10,258,-135,1.4175824175824177,"[1, 0, 0]"
86,First by Davis: 10,First by Downing,221,-25,1.0424528301886793,"[0, 1, 0]"
86,First by Downing,First by Davis: 10,246,25,1.160377358490566,"[0, 1, 0]"
87,First by Davis: 10,"First by Feld: 1.0, 0.5, 200",271,0,1.266355140186916,"[0, 0, 1]"
87,"First by Feld: 1.0, 0.5, 200",First by Davis: 10,271,0,1.266355140186916,"[0, 0, 1]"
88,First by Davis: 10,First by Joss: 0.9,208,-5,1.0947368421052632,"[0, 1, 0]"
88,First by Joss: 0.9,First by Davis: 10,213,5,1.1210526315789473,"[0, 1, 0]"
89,First by Davis: 10,First by Tullock,257,25,1.3385416666666667,"[1, 0, 0]"
89,First by Tullock,First by Davis: 10,232,-25,1.2083333333333333,"[1, 0, 0]"
90,First by Davis: 10,First by Anonymous,512,380,2.797814207650273,"[1, 0, 0]"
90,First by Anonymous,First by Davis: 10,132,-380,0.7213114754098361,"[1, 0, 0]"
91,First by Davis: 10,Random: 0.5,526,390,2.797872340425532,"[1, 0, 0]"
91,Random: 0.5,First by Davis: 10,136,-390,0.723404255319149,"[1, 0, 0]"
92,First by Graaskamp: 0.05,First by Graaskamp: 0.05,289,0,1.529100529100529,"[0, 0, 1]"
92,First by Graaskamp: 0.05,First by Graaskamp: 0.05,289,0,1.529100529100529,"[0, 0, 1]"
93,First by Graaskamp: 0.05,First by Downing,621,90,3.1683673469387754,"[1, 0, 0]"
93,First by Downing,First by Graaskamp: 0.05,531,-90,2.709183673469388,"[1, 0, 0]"
94,First by Graaskamp: 0.05,"First by Feld: 1.0, 0.5, 200",265,-5,1.358974358974359,"[0, 1, 0]"
94,"First by Feld: 1.0, 0.5, 200",First by Graaskamp: 0.05,270,5,1.3846153846153846,"[0, 1, 0]"
95,First by Graaskamp: 0.05,First by Joss: 0.9,264,-20,1.4505494505494505,"[0, 1, 0]"
95,First by Joss: 0.9,First by Graaskamp: 0.05,284,20,1.5604395604395604,"[0, 1, 0]"
96,First by Graaskamp: 0.05,First by Tullock,539,-75,2.616504854368932,"[0, 1, 0]"
96,First by Tullock,First by Graaskamp: 0.05,614,75,2.9805825242718447,"[0, 1, 0]"
97,First by Graaskamp: 0.05,First by Anonymous,607,405,2.960975609756097,"[1, 0, 0]"
97,First by Anonymous,First by Graaskamp: 0.05,202,-405,0.9853658536585366,"[1, 0, 0]"
98,First by Graaskamp: 0.05,Random: 0.5,571,375,2.799019607843137,"[1, 0, 0]"
98,Random: 0.5,First by Graaskamp: 0.05,196,-375,0.9607843137254902,"[1, 0, 0]"
99,First by Downing,First by Downing,187,0,1.0,"[0, 0, 1]"
99,First by Downing,First by Downing,187,0,1.0,"[0, 0, 1]"
100,First by Downing,"First by Feld: 1.0, 0.5, 200",432,-200,2.3351351351351357,"[0, 1, 0]"
